,0,,,
214,"0,0931537749",,,
215,"0,0892232962",,,
216,"0,0919280287",,,
217,"0,081979803",,,
218,"0,0825629516",,,
219,"0,0899085272",,,
220,"0,0920865661",,,
221,"0,0838407445",,,
222,"0,0863470228",,,
223,"0,0839781545",,,
224,"0,0888245583",,,
225,"0,0770657485",,,
226,"0,0649820696",,,
227,"0,0671120313",,,
228,"0,0817771172",,,
229,"0,0842553877",,,
230,"0,0894342069",,,
231,"0,079931368",,,
232,"0,0942445666",,,
233,"0,0846885336",,,
234,"0,0867934693",,,
235,"0,0913894053",,,
236,"0,0820564599",,,
237,"0,0812582035",,,
238,"0,0708226755",,,
239,"0,086438954",,,
240,"0,0868859979",,,
241,"0,0968340973",,,
242,"0,0907196812",,,
243,"0,0881993557",,,
244,"0,0820368861",,,
245,"0,0883256544",,,
246,"0,0762457734",,,
247,"0,0814828032",,,
248,"0,0824420684",,,
249,"0,0907971959",,,
250,"0,095685689",,,
251,"0,0864339359",,,
252,"0,0906531764",,,
253,"0,0935155074",,,
254,"0,076917795",,,
255,"0,1001763244",,,
256,"0,079395739",,,
257,"0,0854117715",,,
258,"0,0751153291",,,
259,"0,0943735052",,,
260,"0,069482325",,,
261,"0,0977809509",,,
262,"0,1132231625",,,
263,"0,0909744535",,,
264,"0,0937572838",,,
265,"0,1002488418",,,
266,"0,1098836882",,,
267,"0,1058009792",,,
268,"0,1073126898",,,
269,"0,079504743",,,
270,"0,0859028096",,,
271,"0,0830797275",,,
272,"0,09542424",,,
273,"0,0927297417",,,
274,"0,0757946645",,,
275,"0,087280875",,,
276,"0,0963306262",,,
277,"0,0943318823",,,
278,"0,0723352963",,,
279,"0,1061404112",,,
280,"0,0827445229",,,
281,"0,0843020254",,,
282,"0,0843668864",,,
283,"0,0978760234",,,
284,"0,11885187",,,
285,"0,0966167024",,,
286,"0,0938756199",,,
287,"0,0828616323",,,
288,"0,0867741326",,,
289,"0,1029066413",,,
290,"0,0995562231",,,
291,"0,089387534",,,
292,"0,1011560457",,,
293,"0,0862566763",,,
294,"0,0751058988",,,
295,"0,0775231685",,,
296,"0,0883922792",,,
297,"0,0851171683",,,
298,"0,1004784067",,,
299,"0,0946983716",,,
300,"0,0725784909",,,
301,"0,087443167",,,
302,"0,0875664866",,,
303,"0,0824030887",,,
304,"0,1010627007",,,
305,"0,0863839363",,,
306,"0,0860174672",,,
307,"0,088595801",,,
308,"0,0826693968",,,
309,"0,083294973",,,
310,"0,0950115602",,,
311,"0,0760337889",,,
312,"0,0690003854",,,
313,"0,0849017696",,,
314,"0,0750961602",,,
315,"0,0762186654",,,
316,"0,0780460798",,,
317,"0,085873385",,,
318,"0,0671561553",,,
319,"0,0723874735",,,
320,"0,0723787881",,,
321,"0,0675719328",,,
322,"0,0677476268",,,
323,"0,0736622183",,,
324,"0,0753910499",,,
325,"0,0723807108",,,
326,"0,0831585385",,,
327,"0,0740036644",,,
328,"0,0786586694",,,
329,"0,0840058154",,,
330,"0,0795474233",,,
331,"0,0835776349",,,
332,"0,0881387839",,,
333,"0,0822999977",,,
334,"0,0791971887",,,
335,"0,0772213138",,,
336,"0,0780985387",,,
337,"0,0776203544",,,
338,"0,0760093488",,,
339,"0,0806980001",,,
340,"0,0903268508",,,
341,"0,0882634014",,,
342,"0,0834898927",,,
343,"0,0952057163",,,
344,"0,07901067",,,
345,"0,0818888806",,,
346,"0,0828556043",,,
347,"0,0799756495",,,
348,"0,0726818318",,,
349,"0,0726618194",,,
350,"0,0768978581",,,
351,"0,0794584974",,,
352,"0,0821704148",,,
353,"0,0807868567",,,
354,"0,0776863555",,,
355,"0,0840106537",,,
356,"0,0778547951",,,
357,"0,070645287",,,
358,"0,0760934952",,,
359,"0,0753192889",,,
