Raio1,Raio2,Dens1,Dens2,omega,mspp,mrpp,Particulas,R1/R2,Den1/Den2,Dx,Dy,Dz,Difusividade_radial,Difusividade_axial,Deff-radial/Deff-axial,,,,,,,,,,,,,,,,,,,,,,,,
0.004,0.004,7000,7000,1,0.2,0.06,3000,1,1,0.000627772,0.000287337,4.30E-05,0.000457554,4.30E-05,10.63666385,,,,,,,,,,,,,,,,,,,,,,,,
0.004,0.004,7000,7000,1,0.6,0.02,3000,1,1,0.000907808,0.00040385,3.89E-05,0.000655829,3.89E-05,16.87963615,,,,,,,,,,,,,,,,,,,,,,,,
0.004,0.004,7000,7000,3,0.2,0.02,3000,1,1,0.002094814,0.000640072,0.000125358,0.001367443,0.000125358,10.90828541,,,,,,,,,,,,,,,,,,,,,,,,
0.004,0.004,7000,7000,3,0.6,0.06,3000,1,1,0.002555925,0.0013345,0.00013427,0.001945212,0.00013427,14.48727279,,,,,,,,,,,,,,,,,,,,,,,,
0.001056527,0.003,5000,5000,2,0.4,0.04,7000,0.352175638,1,0.000710072,0.000531922,9.26E-05,0.000620997,9.26E-05,6.70872858,,,,,,,,,,,,,,,,,,,,,,,,
0.004943473,0.003,5000,5000,2,0.4,0.04,7000,1.647824362,1,0.002429165,0.000989941,0.000143868,0.001709553,0.000143868,11.88276553,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.001056527,5000,5000,2,0.4,0.04,170000,2.839492268,1,0.000677657,0.0001949,8.57E-05,0.000436278,8.57E-05,5.089130453,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.004943473,5000,5000,2,0.4,0.04,2000,0.606860794,1,0.001283615,0.000728261,0.000110296,0.001005938,0.000110296,9.120320913,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.003,1113.053826,5000,2,0.4,0.04,7000,1,0.222610765,0.002777362,0.001162568,0.000121983,0.001969965,0.000121983,16.14944997,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.003,8886.946174,5000,2,0.4,0.04,7000,1,1.777389235,0.000483917,0.000213309,0.000043373,0.000348613,0.000043373,8.037548483,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.003,5000,1113.053826,2,0.4,0.04,7000,1,4.492145738,0.000195397,9.64E-05,4.13E-05,0.000145918,4.13E-05,3.534657293,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.003,5000,8886.946174,2,0.4,0.04,7000,1,0.562622964,0.00215711,0.000991546,0.000107774,0.001574328,0.000107774,14.60766992,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.003,5000,5000,0.056526913,0.4,0.04,7000,1,1,2.68E-05,8.59E-06,4.21E-06,1.77E-05,4.21E-06,4.204138969,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.003,5000,5000,3.943473087,0.4,0.04,7000,1,1,0.002495962,0.001228826,0.000129082,0.001862394,0.000129082,14.42804042,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.003,5000,5000,2,0.011305383,0.04,7000,1,1,2.51E-05,1.19E-05,2.98E-06,1.85E-05,2.98E-06,6.209319321,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.003,5000,5000,2,0.788694617,0.04,7000,1,1,0.002617176,0.001339779,5.97E-05,0.001978478,5.97E-05,33.13298512,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.003,5000,5000,2,0.4,0.001130538,7000,1,1,0.000887785,0.000366322,6.74E-05,0.000627054,6.74E-05,9.297004683,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.003,5000,5000,2,0.4,0.078869462,7000,1,1,0.001122338,0.000516645,9.84E-05,0.000819491,9.84E-05,8.325532485,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.003,5000,5000,2,0.4,0.04,7000,1,1,0.001227092,0.000545147,8.74E-05,0.000886119,8.74E-05,10.13668392,,,,,,,,,,,,,,,,,,,,,,,,
0.003,0.003,5000,5000,2,0.4,0.04,7000,1,1,0.001167965,0.00052084,6.96E-05,0.000844402,6.96E-05,12.12753086,,,,,,,,,,,,,,,,,,,,,,,,
